X,Y,ASCII,Foreground,Background
0,0,32,#000000,#000000
1,0,32,#000000,#000000
2,0,32,#000000,#000000
3,0,32,#000000,#000000
4,0,32,#000000,#000000
5,0,32,#000000,#000000
6,0,32,#000000,#000000
7,0,32,#000000,#000000
8,0,32,#000000,#000000
9,0,95,#FFFFFF,#000000
10,0,95,#FFFFFF,#000000
11,0,95,#FFFFFF,#000000
12,0,95,#FFFFFF,#000000
13,0,95,#FFFFFF,#000000
14,0,95,#FFFFFF,#000000
15,0,32,#000000,#000000
16,0,95,#FFFFFF,#000000
17,0,95,#FFFFFF,#000000
18,0,32,#000000,#000000
19,0,32,#000000,#000000
20,0,32,#000000,#000000
21,0,32,#000000,#000000
22,0,32,#000000,#000000
23,0,32,#000000,#000000
24,0,32,#000000,#000000
25,0,32,#000000,#000000
26,0,32,#000000,#000000
27,0,32,#000000,#000000
28,0,32,#000000,#000000
29,0,32,#000000,#000000
30,0,32,#000000,#000000
31,0,32,#000000,#000000
32,0,32,#000000,#000000
33,0,32,#000000,#000000
34,0,32,#000000,#000000
35,0,32,#000000,#000000
36,0,32,#000000,#000000
37,0,32,#000000,#000000
38,0,32,#000000,#000000
39,0,32,#000000,#000000
40,0,32,#000000,#000000
41,0,32,#000000,#000000
42,0,32,#000000,#000000
43,0,32,#000000,#000000
44,0,32,#000000,#000000
45,0,32,#000000,#000000
46,0,32,#000000,#000000
47,0,32,#000000,#000000
48,0,32,#000000,#000000
49,0,32,#000000,#000000
0,1,32,#000000,#000000
1,1,32,#000000,#000000
2,1,32,#000000,#000000
3,1,32,#000000,#000000
4,1,32,#000000,#000000
5,1,32,#000000,#000000
6,1,32,#000000,#000000
7,1,32,#000000,#000000
8,1,40,#FFFFFF,#000000
9,1,95,#FFFFFF,#000000
10,1,32,#000000,#000000
11,1,32,#000000,#000000
12,1,32,#000000,#000000
13,1,32,#000000,#000000
14,1,32,#000000,#000000
15,1,32,#000000,#000000
16,1,32,#000000,#000000
17,1,32,#000000,#000000
18,1,41,#FFFFFF,#000000
19,1,32,#000000,#000000
20,1,32,#000000,#000000
21,1,32,#000000,#000000
22,1,32,#000000,#000000
23,1,32,#000000,#000000
24,1,32,#000000,#000000
25,1,32,#000000,#000000
26,1,32,#000000,#000000
27,1,32,#000000,#000000
28,1,32,#000000,#000000
29,1,32,#000000,#000000
30,1,32,#000000,#000000
31,1,32,#000000,#000000
32,1,32,#000000,#000000
33,1,32,#000000,#000000
34,1,32,#000000,#000000
35,1,32,#000000,#000000
36,1,32,#000000,#000000
37,1,32,#000000,#000000
38,1,32,#000000,#000000
39,1,32,#000000,#000000
40,1,32,#000000,#000000
41,1,32,#000000,#000000
42,1,32,#000000,#000000
43,1,32,#000000,#000000
44,1,32,#000000,#000000
45,1,32,#000000,#000000
46,1,32,#000000,#000000
47,1,32,#000000,#000000
48,1,32,#000000,#000000
49,1,32,#000000,#000000
0,2,32,#000000,#000000
1,2,32,#000000,#000000
2,2,32,#000000,#000000
3,2,32,#000000,#000000
4,2,32,#000000,#000000
5,2,95,#FFFFFF,#000000
6,2,95,#FFFFFF,#000000
7,2,40,#FFFFFF,#000000
8,2,32,#000000,#000000
9,2,32,#000000,#000000
10,2,32,#000000,#000000
11,2,95,#FFFFFF,#000000
12,2,95,#FFFFFF,#000000
13,2,95,#FFFFFF,#000000
14,2,95,#FFFFFF,#000000
15,2,32,#000000,#000000
16,2,32,#000000,#000000
17,2,32,#000000,#000000
18,2,95,#FFFFFF,#000000
19,2,95,#FFFFFF,#000000
20,2,41,#FFFFFF,#000000
21,2,32,#000000,#000000
22,2,32,#000000,#000000
23,2,32,#000000,#000000
24,2,32,#000000,#000000
25,2,32,#000000,#000000
26,2,32,#000000,#000000
27,2,32,#000000,#000000
28,2,32,#000000,#000000
29,2,32,#000000,#000000
30,2,32,#000000,#000000
31,2,32,#000000,#000000
32,2,32,#000000,#000000
33,2,32,#000000,#000000
34,2,32,#000000,#000000
35,2,32,#000000,#000000
36,2,32,#000000,#000000
37,2,32,#000000,#000000
38,2,32,#000000,#000000
39,2,32,#000000,#000000
40,2,32,#000000,#000000
41,2,32,#000000,#000000
42,2,32,#000000,#000000
43,2,32,#000000,#000000
44,2,32,#000000,#000000
45,2,32,#000000,#000000
46,2,32,#000000,#000000
47,2,32,#000000,#000000
48,2,32,#000000,#000000
49,2,32,#000000,#000000
0,3,32,#000000,#000000
1,3,32,#000000,#000000
2,3,32,#000000,#000000
3,3,32,#000000,#000000
4,3,40,#FFFFFF,#000000
5,3,95,#FFFFFF,#000000
6,3,95,#FFFFFF,#000000
7,3,95,#FFFFFF,#000000
8,3,95,#FFFFFF,#000000
9,3,95,#FFFFFF,#000000
10,3,95,#FFFFFF,#000000
11,3,32,#000000,#000000
12,3,32,#000000,#000000
13,3,32,#000000,#000000
14,3,32,#000000,#000000
15,3,41,#FFFFFF,#000000
16,3,0,#FFFFFF,#000000
17,3,0,#FFFFFF,#000000
18,3,0,#FFFFFF,#000000
19,3,95,#FFFFFF,#000000
20,3,95,#FFFFFF,#000000
21,3,41,#FFFFFF,#000000
22,3,32,#000000,#000000
23,3,32,#000000,#000000
24,3,32,#000000,#000000
25,3,32,#000000,#000000
26,3,32,#000000,#000000
27,3,32,#000000,#000000
28,3,32,#000000,#000000
29,3,32,#000000,#000000
30,3,32,#000000,#000000
31,3,32,#000000,#000000
32,3,32,#000000,#000000
33,3,32,#000000,#000000
34,3,32,#000000,#000000
35,3,32,#000000,#000000
36,3,32,#000000,#000000
37,3,32,#000000,#000000
38,3,32,#000000,#000000
39,3,32,#000000,#000000
40,3,32,#000000,#000000
41,3,32,#000000,#000000
42,3,32,#000000,#000000
43,3,32,#000000,#000000
44,3,32,#000000,#000000
45,3,32,#000000,#000000
46,3,32,#000000,#000000
47,3,32,#000000,#000000
48,3,32,#000000,#000000
49,3,32,#000000,#000000
0,4,32,#000000,#000000
1,4,32,#000000,#000000
2,4,32,#000000,#000000
3,4,32,#000000,#000000
4,4,32,#000000,#000000
5,4,40,#FFFFFF,#000000
6,4,95,#FFFFFF,#000000
7,4,95,#FFFFFF,#000000
8,4,32,#000000,#000000
9,4,40,#FFFFFF,#000000
10,4,95,#FFFFFF,#000000
11,4,95,#FFFFFF,#000000
12,4,95,#FFFFFF,#000000
13,4,95,#FFFFFF,#000000
14,4,41,#FFFFFF,#000000
15,4,95,#FFFFFF,#000000
16,4,95,#FFFFFF,#000000
17,4,32,#000000,#000000
18,4,32,#000000,#000000
19,4,41,#FFFFFF,#000000
20,4,32,#000000,#000000
21,4,32,#000000,#000000
22,4,32,#000000,#000000
23,4,32,#000000,#000000
24,4,32,#000000,#000000
25,4,32,#000000,#000000
26,4,32,#000000,#000000
27,4,32,#000000,#000000
28,4,32,#000000,#000000
29,4,32,#000000,#000000
30,4,32,#000000,#000000
31,4,32,#000000,#000000
32,4,32,#000000,#000000
33,4,32,#000000,#000000
34,4,32,#000000,#000000
35,4,32,#000000,#000000
36,4,32,#000000,#000000
37,4,32,#000000,#000000
38,4,32,#000000,#000000
39,4,32,#000000,#000000
40,4,32,#000000,#000000
41,4,32,#000000,#000000
42,4,32,#000000,#000000
43,4,32,#000000,#000000
44,4,32,#000000,#000000
45,4,32,#000000,#000000
46,4,32,#000000,#000000
47,4,32,#000000,#000000
48,4,32,#000000,#000000
49,4,32,#000000,#000000
0,5,32,#000000,#000000
1,5,32,#000000,#000000
2,5,32,#000000,#000000
3,5,32,#000000,#000000
4,5,32,#000000,#000000
5,5,32,#000000,#000000
6,5,40,#FFFFFF,#000000
7,5,95,#FFFFFF,#000000
8,5,95,#FFFFFF,#000000
9,5,95,#FFFFFF,#000000
10,5,95,#FFFFFF,#000000
11,5,40,#FFFFFF,#000000
12,5,95,#FFFFFF,#000000
13,5,95,#FFFFFF,#000000
14,5,95,#FFFFFF,#000000
15,5,41,#FFFFFF,#000000
16,5,95,#FFFFFF,#000000
17,5,95,#FFFFFF,#000000
18,5,41,#FFFFFF,#000000
19,5,32,#000000,#000000
20,5,32,#000000,#000000
21,5,32,#000000,#000000
22,5,32,#000000,#000000
23,5,32,#000000,#000000
24,5,32,#000000,#000000
25,5,32,#000000,#000000
26,5,32,#000000,#000000
27,5,32,#000000,#000000
28,5,32,#000000,#000000
29,5,32,#000000,#000000
30,5,32,#000000,#000000
31,5,32,#000000,#000000
32,5,32,#000000,#000000
33,5,32,#000000,#000000
34,5,32,#000000,#000000
35,5,32,#000000,#000000
36,5,32,#000000,#000000
37,5,32,#000000,#000000
38,5,32,#000000,#000000
